[2026-05-04 19:54:05.282] ERROR | Context: MakeMove - Unexpected error | Type: NullReferenceException | Message: Object reference not set to an instance of an object. | StackTrace: at Microsoft.EntityFrameworkCore.Update.ModificationCommand.WriteJson(Utf8JsonWriter writer, Object navigationValue, IUpdateEntry parentEntry, IEntityType entityType, Nullable`1 ordinal, Boolean isCollection, Boolean isTopLevel)
[2026-05-04 19:59:34.827] ERROR | Context: MakeMove - Unexpected error | Type: NullReferenceException | Message: Object reference not set to an instance of an object. | StackTrace: at Microsoft.EntityFrameworkCore.Update.ModificationCommand.WriteJson(Utf8JsonWriter writer, Object navigationValue, IUpdateEntry parentEntry, IEntityType entityType, Nullable`1 ordinal, Boolean isCollection, Boolean isTopLevel)
[2026-05-04 20:02:31.952] ERROR | Context: MakeMove - Unexpected error | Type: NullReferenceException | Message: Object reference not set to an instance of an object. | StackTrace: at Microsoft.EntityFrameworkCore.Update.ModificationCommand.WriteJson(Utf8JsonWriter writer, Object navigationValue, IUpdateEntry parentEntry, IEntityType entityType, Nullable`1 ordinal, Boolean isCollection, Boolean isTopLevel)
[2026-05-04 20:07:46.614] ERROR | Context: MakeMove - Unexpected error | Type: NullReferenceException | Message: Object reference not set to an instance of an object. | StackTrace: at Microsoft.EntityFrameworkCore.Update.ModificationCommand.WriteJson(Utf8JsonWriter writer, Object navigationValue, IUpdateEntry parentEntry, IEntityType entityType, Nullable`1 ordinal, Boolean isCollection, Boolean isTopLevel)
[2026-05-04 20:10:37.829] ERROR | Context: MakeMove - Unexpected error | Type: NullReferenceException | Message: Object reference not set to an instance of an object. | StackTrace: at Microsoft.EntityFrameworkCore.Update.ModificationCommand.WriteJson(Utf8JsonWriter writer, Object navigationValue, IUpdateEntry parentEntry, IEntityType entityType, Nullable`1 ordinal, Boolean isCollection, Boolean isTopLevel)
[2026-05-04 20:13:15.806] ERROR | Context: MakeMove - Unexpected error | Type: NullReferenceException | Message: Object reference not set to an instance of an object. | StackTrace: at Microsoft.EntityFrameworkCore.Update.ModificationCommand.WriteJson(Utf8JsonWriter writer, Object navigationValue, IUpdateEntry parentEntry, IEntityType entityType, Nullable`1 ordinal, Boolean isCollection, Boolean isTopLevel)
[2026-05-04 20:14:58.657] ERROR | Context: MakeMove - Unexpected error | Type: NullReferenceException | Message: Object reference not set to an instance of an object. | StackTrace: at Microsoft.EntityFrameworkCore.Update.ModificationCommand.WriteJson(Utf8JsonWriter writer, Object navigationValue, IUpdateEntry parentEntry, IEntityType entityType, Nullable`1 ordinal, Boolean isCollection, Boolean isTopLevel)
[2026-05-04 20:20:49.675] ERROR | Context: MakeMove - Unexpected error | Type: NullReferenceException | Message: Object reference not set to an instance of an object. | StackTrace: at Microsoft.EntityFrameworkCore.Update.ModificationCommand.WriteJson(Utf8JsonWriter writer, Object navigationValue, IUpdateEntry parentEntry, IEntityType entityType, Nullable`1 ordinal, Boolean isCollection, Boolean isTopLevel)
[2026-05-08 08:03:27.862] ERROR | Context: Request: /api/user/login | Type: ArgumentNullException | Message: Value cannot be null. (Parameter 's') | StackTrace: at System.ArgumentNullException.Throw(String paramName)
[2026-05-08 08:03:46.692] ERROR | Context: Request: /api/user/login | Type: ArgumentNullException | Message: Value cannot be null. (Parameter 's') | StackTrace: at System.ArgumentNullException.Throw(String paramName)
[2026-05-08 08:03:52.664] ERROR | Context: Request: /api/user/guest | Type: ArgumentNullException | Message: Value cannot be null. (Parameter 's') | StackTrace: at System.ArgumentNullException.Throw(String paramName)
[2026-05-08 08:09:04.889] ERROR | Context: Request: /api/user/login | Type: ArgumentNullException | Message: Value cannot be null. (Parameter 's') | StackTrace: at System.ArgumentNullException.Throw(String paramName)
[2026-05-08 08:17:29.710] ERROR | Context: Request: /index.html | Type: ArgumentNullException | Message: Value cannot be null. (Parameter 's') | StackTrace: at System.ArgumentNullException.Throw(String paramName)
[2026-05-08 08:17:29.967] ERROR | Context: Request: /favicon.ico | Type: ArgumentNullException | Message: Value cannot be null. (Parameter 's') | StackTrace: at System.ArgumentNullException.Throw(String paramName)
[2026-05-08 08:19:12.406] ERROR | Context: Request: /index.html | Type: ArgumentNullException | Message: Value cannot be null. (Parameter 's') | StackTrace: at System.ArgumentNullException.Throw(String paramName)
[2026-05-08 08:19:12.595] ERROR | Context: Request: /favicon.ico | Type: ArgumentNullException | Message: Value cannot be null. (Parameter 's') | StackTrace: at System.ArgumentNullException.Throw(String paramName)
